split,event_index,baseline_cumulative_reward,baseline_cumulative_coverage,adaptive_cumulative_reward_mean,adaptive_cumulative_reward_lower,adaptive_cumulative_reward_upper,adaptive_cumulative_coverage_mean,adaptive_cumulative_exploration_rate_mean,adaptive_celular_selection_rate_mean,adaptive_telefone_selection_rate_mean
validation,53,0,0.0,0.26666666666666666,0.0,1.0,0.19182389937106922,0.19182389937106922,0.8081761006289306,0.19182389937106922
validation,54,0,0.0,0.26666666666666666,0.0,1.0,0.19197530864197526,0.19197530864197526,0.8080246913580246,0.19197530864197526
validation,55,0,0.0,0.26666666666666666,0.0,1.0,0.1903030303030303,0.1903030303030303,0.8096969696969697,0.1903030303030303
validation,56,0,0.0,0.26666666666666666,0.0,1.0,0.1886904761904762,0.1886904761904762,0.8113095238095238,0.1886904761904762
validation,57,0,0.0,0.26666666666666666,0.0,1.0,0.1871345029239766,0.1871345029239766,0.8128654970760232,0.1871345029239766
validation,58,0,0.0,0.26666666666666666,0.0,1.0,0.18563218390804603,0.18563218390804603,0.814367816091954,0.18563218390804603
validation,59,0,0.0,0.26666666666666666,0.0,1.0,0.18248587570621475,0.18248587570621475,0.8175141242937852,0.18248587570621475
validation,60,0,0.0,0.26666666666666666,0.0,1.0,0.1811111111111111,0.1811111111111111,0.8188888888888891,0.1811111111111111
validation,61,0,0.0,0.26666666666666666,0.0,1.0,0.17978142076502734,0.17978142076502734,0.8202185792349729,0.17978142076502734
validation,62,0,0.0,0.26666666666666666,0.0,1.0,0.17849462365591393,0.17849462365591393,0.8215053763440859,0.17849462365591393
validation,63,0,0.0,0.26666666666666666,0.0,1.0,0.17671957671957672,0.17671957671957672,0.8232804232804237,0.17671957671957672
validation,64,0,0.0,0.26666666666666666,0.0,1.0,0.17604166666666668,0.17604166666666668,0.8239583333333333,0.17604166666666668
validation,65,0,0.0,0.26666666666666666,0.0,1.0,0.17487179487179488,0.17487179487179488,0.8251282051282055,0.17487179487179488
validation,66,0,0.0,0.26666666666666666,0.0,1.0,0.1747474747474747,0.1747474747474747,0.8252525252525252,0.1747474747474747
validation,67,0,0.0,0.26666666666666666,0.0,1.0,0.1746268656716418,0.1746268656716418,0.8253731343283583,0.1746268656716418
validation,68,0,0.0,0.26666666666666666,0.0,1.0,0.17205882352941176,0.17205882352941176,0.8279411764705883,0.17205882352941176
validation,69,0,0.0,0.26666666666666666,0.0,1.0,0.17053140096618363,0.17053140096618363,0.8294685990338164,0.17053140096618363
validation,70,0,0.0,0.26666666666666666,0.0,1.0,0.16904761904761906,0.16904761904761906,0.830952380952381,0.16904761904761906
validation,71,0,0.0,0.26666666666666666,0.0,1.0,0.1685446009389671,0.1685446009389671,0.8314553990610328,0.1685446009389671
validation,72,0,0.0,0.26666666666666666,0.0,1.0,0.1675925925925926,0.1675925925925926,0.8324074074074074,0.1675925925925926
validation,73,0,0.0,0.26666666666666666,0.0,1.0,0.1662100456621005,0.1662100456621005,0.8337899543378996,0.1662100456621005
validation,74,0,0.0,0.26666666666666666,0.0,1.0,0.16486486486486485,0.16486486486486485,0.835135135135135,0.16486486486486485
validation,75,0,0.0,0.26666666666666666,0.0,1.0,0.16266666666666665,0.16266666666666665,0.8373333333333336,0.16266666666666665
validation,76,0,0.0,0.26666666666666666,0.0,1.0,0.1618421052631579,0.1618421052631579,0.838157894736842,0.1618421052631579
validation,77,0,0.0,0.26666666666666666,0.0,1.0,0.16147186147186146,0.16147186147186146,0.8385281385281385,0.16147186147186146
validation,78,0,0.0,0.26666666666666666,0.0,1.0,0.16025641025641027,0.16025641025641027,0.8397435897435898,0.16025641025641027
